RBT-97 adversary: mechanism.py's verdict line against the pre-registered rule (synthetic, RBT-67 P-801 noise)

a = 64, 5 correctly signed robots
   true R | code: FOOD  UNRES   GAIT | prereg: FOOD  UNRES   GAIT
     0.00 |       0.98   0.01   0.00 |         0.98   0.01   0.00
     0.25 |       0.50   0.50   0.00 |         0.50   0.50   0.00
     0.50 |       0.02   0.98   0.01 |         0.02   0.97   0.01
     0.75 |       0.00   0.79   0.21 |         0.00   0.50   0.50
     0.90 |       0.00   0.81   0.19 |         0.00   0.09   0.91
     1.00 |       0.00   0.83   0.17 |         0.00   0.01   0.99
     1.10 |       0.00   0.71   0.29 |         0.00   0.00   1.00

a = 384, 5 correctly signed robots
   true R | code: FOOD  UNRES   GAIT | prereg: FOOD  UNRES   GAIT
     0.00 |       1.00   0.00   0.00 |         1.00   0.00   0.00
     0.25 |       0.50   0.50   0.00 |         0.50   0.50   0.00
     0.50 |       0.00   1.00   0.00 |         0.00   1.00   0.00
     0.75 |       0.00   0.51   0.49 |         0.00   0.49   0.51
     0.90 |       0.00   0.45   0.55 |         0.00   0.00   1.00
     1.00 |       0.00   0.84   0.16 |         0.00   0.00   1.00
     1.10 |       0.00   0.46   0.54 |         0.00   0.00   1.00

