RBT-99 adversary probe 1: the population's own kJ, not two seeds' bests.

seed fauna           window alive items kJ mean      kJ q10/50/90 net@.03 net@.08 <basal@.03 <basal@.08
 801 holistic      300-339   58.4  1.08    7.31   1.6/  7.6/ 11.6   0.861   0.495       0.42       0.53
 801 conventional  300-339   57.9  1.45   19.74  15.1/ 20.1/ 24.1   0.855  -0.132       0.36       0.66
 804 holistic      300-339   58.4  1.13    6.42   1.1/  5.9/ 12.7   0.935   0.614       0.42       0.49
 804 conventional  300-339   58.3  1.35   19.12  12.9/ 19.0/ 25.7   0.774  -0.182       0.38       0.70
 805 holistic      300-339   57.8  1.08    4.00   0.4/  3.7/  6.9   0.964   0.764       0.42       0.43
 805 conventional  300-339   58.3  1.44   20.82  17.0/ 21.2/ 24.1   0.818  -0.223       0.30       0.69
 806 holistic      300-339   58.3  1.07    6.31   0.9/  5.0/ 13.6   0.880   0.565       0.41       0.49
 806 conventional  300-339   58.5  1.44   21.45  16.8/ 21.4/ 25.9   0.797  -0.276       0.36       0.71
 807 holistic      300-339   58.5  1.04    4.81   1.2/  5.1/  6.9   0.900   0.659       0.45       0.46
 807 conventional  300-339   58.1  1.37   20.75  14.9/ 21.1/ 26.1   0.749  -0.288       0.42       0.71
   1 holistic      281-320   58.5  1.08    2.90   0.4/  2.4/  5.6   0.988   0.843       0.44       0.45
   1 conventional  281-320   58.0  1.23   17.71  13.1/ 17.5/ 23.5   0.697  -0.188       0.40       0.70
   2 holistic      193-232   57.9  1.16    7.00   2.4/  6.4/ 13.7   0.952   0.602       0.40       0.47
   2 conventional  193-232   58.0  1.38   18.60  12.6/ 19.3/ 24.3   0.821  -0.109       0.35       0.69
   3 holistic      300-339   58.4  1.19    6.20   1.2/  5.0/ 12.2   1.000   0.690       0.44       0.50
   3 conventional  300-339   57.9  1.26   17.68  11.5/ 18.3/ 23.3   0.725  -0.159       0.37       0.69
   4 holistic      300-339   57.9  1.16    4.83   0.7/  4.6/  9.3   1.018   0.777       0.43       0.45
   4 conventional  300-339   58.0  1.37   19.40  10.7/ 20.8/ 24.7   0.784  -0.186       0.36       0.70
   7 holistic      300-339   58.5  1.20    3.23   0.4/  3.0/  6.5   1.108   0.946       0.43       0.44
   7 conventional  300-339   57.8  1.28   16.22   6.2/ 16.4/ 23.7   0.798  -0.013       0.38       0.64

  holistic    : seed-mean kJ 2.90..7.31; net@.08 +0.495..+0.946; seeds with net@.08 < basal: 0/10
  conventional: seed-mean kJ 16.22..21.45; net@.08 -0.288..-0.013; seeds with net@.08 < basal: 10/10
