RBT-99 (C2): the mechanical price per seed and fauna, from the baseline's own pre-onset seasons.
seed	fauna	T	window	rows	kJ	price
801	holistic	361	321-360	2326	7.878	0.3939
801	conventional	361	321-360	2327	19.103	0.9551
804	holistic	358	318-357	2328	6.848	0.3424
804	conventional	358	318-357	2312	18.878	0.9439
805	holistic	359	319-358	2318	4.051	0.2026
805	conventional	359	319-358	2331	20.200	1.0100
806	holistic	365	325-364	2316	6.639	0.3320
806	conventional	365	325-364	2330	21.447	1.0723
807	holistic	360	320-359	2335	4.945	0.2473
807	conventional	360	320-359	2332	20.171	1.0086
1	holistic	382	342-381	2349	2.702	0.1351
1	conventional	382	342-381	2337	17.321	0.8661
2	holistic	382	342-381	2354	5.121	0.2560
2	conventional	382	342-381	2342	19.908	0.9954
3	holistic	352	312-351	2313	6.101	0.3051
3	conventional	352	312-351	2309	17.692	0.8846
4	holistic	355	315-354	2330	4.791	0.2395
4	conventional	355	315-354	2304	19.470	0.9735
7	holistic	354	314-353	2322	3.210	0.1605
7	conventional	354	314-353	2314	15.846	0.7923
